Rule,CourseID,Num_Violations
6hrs per day,PTMSCGLCJS1F_YR1_2024/5,8.0
Clash,PTMSCGLCJS1P_YR1_2024/5,4.0
6hrs per day,PTMSCGLCJS1P_YR1_2024/5,8.0
Clash,PTMSCGLCJS1P_YR2_2024/5,4.0
6hrs per day,PTMSCGLCJS1P_YR2_2024/5,8.0
6hrs per day,PTMSCGLEPS1F_YR1_2024/5,3.0
Clash,PTMSCGLEPS1F_YR1_2024/5,4.0
6hrs per day,PTMSCGLEPS1P_YR1_2024/5,3.0
Clash,PTMSCGLEPS1P_YR1_2024/5,4.0
6hrs per day,PTMSCGLEPS1P_YR2_2024/5,3.0
Clash,PTMSCGLEPS1P_YR2_2024/5,4.0
Clash,PTMSCGLMUW1F_YR1_2024/5,1.0
Clash,PTMSCGLOCH1P_YR1_2024/5,1.0
Clash,PTMSCGLOCH1P_YR2_2024/5,1.0
Clash,PTMSCGLOCH1P_YR3_2024/5,1.0
Clash,PTMSCGLOCH1U_YR1_2024/5,1.0
Clash,PTMSCGLOCH1U_YR2_2024/5,1.0
Clash,PTMSCGLOCH1U_YR3_2024/5,1.0
Clash,PTMSCGLOHP2F_YR1_2024/5,3.0
Clash,PTMSCGLOHP3P_YR1_2024/5,3.0
Clash,PTMSCGLOHP3P_YR2_2024/5,2.0
Clash,PTMSCGLOSS1F_YR1_2024/5,4.0
Clash,PTMSCGMNHS1F_YR1_2024/5,5.0
6hrs per day,PTMSCGMNHS1F_YR1_2024/5,40.0
Clash,PTMSCGMNHS1P_YR1_2024/5,5.0
6hrs per day,PTMSCGMNHS1P_YR1_2024/5,40.0
Clash,PTMSCGMNHS1P_YR2_2024/5,5.0
6hrs per day,PTMSCGMNHS1P_YR2_2024/5,40.0
Clash,PTMSCHCTGE1F_YR1_2024/5,4.0
Clash,PTMSCHCTGE1P_YR1_2024/5,4.0
Clash,PTMSCHCTGE1P_YR2_2024/5,1.0
Clash,PTMSCHISTD2F_YR1_2024/5,1.0
Clash,PTMSCHISTD2P_YR1_2024/5,1.0
